rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
65,606782,602897,516950,1137277,293330,736441,709074,419520,713232,260369,889005,467149,731863,679989,330721,501872,193615,480517,383311,739270,203720,229649,432753,423952,247185,569498,458289,291066,367418,160815,547722,345586,336671,378323,330122,597942,476145
66,606243,593008,512719,1104815,290417,734245,680557,415967,704440,258642,836741,455949,730100,674022,324096,500912,192233,474847,379806,728833,198927,229265,396557,419297,243171,553812,456375,286592,361457,158768,545191,336649,331731,374051,325448,592291,464530
67,600307,592078,511238,1103918,281590,713702,646491,415302,704400,254487,823266,450433,724290,670268,323965,487044,187316,468874,360171,723791,197240,228345,378183,413286,239036,548285,404307,276492,358756,155220,538866,333579,330360,364905,321832,592230,461968
68,597543,590547,488657,1085721,277515,680110,645979,413438,700620,250771,822393,450428,719434,649397,319935,477858,186297,458260,355227,706820,192463,227883,374540,402856,236992,542409,399611,275865,345337,150036,533994,328613,321292,361844,320152,590594,460318
69,588555,582190,487354,1085634,262790,677517,645226,408112,699741,244379,811198,441089,699892,633782,288923,472849,180614,454373,338483,683724,184460,223466,372588,402796,233443,525262,389193,275124,340502,143623,531192,325040,320506,313383,315840,582707,457648
70,558792,578708,472302,1072950,257398,632502,634713,405213,698992,244047,778897,439800,697626,598574,288734,449845,177592,451174,320696,680135,182630,213761,372224,394695,232688,525048,360764,273096,339728,142942,524295,313687,319137,302622,314206,568277,457559
71,557953,567795,469319,1064872,255679,627501,634296,405103,684705,241925,768564,434803,696985,596072,284753,443873,177229,447094,316919,658116,179017,208705,364870,393628,229079,500876,345620,268197,328283,140523,501530,294890,290184,300604,311673,557778,457485
72,543252,557923,459421,1058629,253382,626710,631173,401642,667288,233630,719866,434674,683706,589224,265997,435899,176969,441524,309978,644462,175990,188561,340497,391253,224979,492650,340503,260767,320320,137273,490926,294542,287642,297667,299224,541539,454385
73,537374,557553,439175,1050731,251842,623100,630749,391973,663867,225994,708701,432089,681026,573218,259025,431377,159758,432829,302243,641032,175072,180422,338197,371851,223794,491471,325257,258686,307748,136862,485745,291097,286637,283933,298728,532656,450423
74,516077,553551,435235,1050237,242483,622713,628257,388086,656768,223040,701703,430019,669395,570257,251255,429945,159468,432086,293421,635444,169173,179641,336498,358016,213446,488829,313800,257971,306112,135442,485488,271048,280021,277952,292051,516181,445525
