rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
69,2941346,3021571,3055707,4612718,3100765,2785583,3608343,2947325,2937073,2403761,4429289,2669903,4968217,2654075,2538666,2778051,2201313,2625241,2554369,4392369,1828063,2378903,2437214,2610572,2454757,2789967,2642418,2261765,3038380,2208165,2738913,2505040,2582005,2555466,2622141,5236690,2473367
70,2932051,3016213,3055478,4612030,3098311,2770633,3577580,2946533,2930613,2403315,4398574,2667238,4947950,2651995,2534932,2774315,2200712,2624205,2552786,4391663,1826568,2375773,2436554,2603697,2451727,2788010,2640942,2260908,3035902,2206632,2735855,2503647,2579120,2549432,2621887,5236131,2464129
71,2917222,3015568,3052888,4605757,3089757,2768934,3567926,2940794,2930264,2392231,4389286,2663298,4928499,2649024,2532257,2773015,2190886,2618673,2546773,4389614,1814499,2367838,2435376,2592699,2449947,2782176,2629465,2259121,3032586,2206135,2735801,2502458,2578383,2549238,2620483,5235604,2448156
72,2916618,3010941,3041830,4603264,3088996,2755396,3566676,2935367,2930079,2388513,4357714,2663041,4927880,2641468,2520757,2760693,2186440,2614641,2545887,4389272,1811363,2363950,2423095,2586920,2447596,2779114,2627814,2255250,3032214,2201280,2735477,2501086,2574016,2547975,2615571,5233320,2445646
73,2913464,3009329,3041671,4595161,3085656,2747217,3566430,2910289,2925741,2386210,4349199,2662052,4925518,2621570,2515696,2748427,2173120,2612020,2544358,4378934,1810055,2361784,2418867,2581059,2446291,2774591,2625795,2249098,3029527,2200812,2735477,2498729,2568421,2547083,2608952,5228851,2439091
74,2897905,3009225,3039002,4588984,3080866,2738996,3550671,2899899,2921279,2379361,4340044,2658783,4923745,2620925,2511697,2745872,2162944,2611691,2538393,4377363,1808352,2359441,2414624,2576008,2443750,2723124,2625607,2241559,3029244,2200418,2735477,2492155,2566347,2541773,2607759,5222406,2430499
75,2895252,3003854,3034121,4577851,3079446,2736732,3548301,2895747,2920497,2376172,4335457,2657475,4908258,2616648,2507856,2745552,2157822,2609828,2534631,4376352,1806911,2357924,2407942,2566736,2432300,2722048,2622173,2237491,3022269,2198038,2735477,2490298,2562295,2538459,2606793,5221752,2427956
76,2879716,3001934,3028690,4573735,3077597,2724061,3547046,2889783,2918055,2374584,4334690,2657207,4900245,2614571,2507463,2723450,2156742,2608003,2534238,4373900,1805072,2350000,2405106,2566155,2431050,2714932,2621685,2236411,3021555,2197278,2735477,2489847,2558894,2536840,2606612,5219415,2427494
77,2874805,3001748,3027707,4560060,3070188,2723662,3544229,2875001,2905923,2371609,4332601,2656565,4897712,2613356,2505878,2720905,2154195,2605172,2533698,4359830,1798458,2345915,2401669,2563584,2429890,2706039,2614407,2230345,3017885,2196677,2735477,2475624,2553302,2530025,2605945,5216860,2423998
78,2868100,3001358,3027014,4551828,3068456,2716961,3532757,2844677,2904793,2367964,4330091,2656565,4897401,2609875,2505406,2715373,2153991,2602280,2527481,4356641,1796376,2345857,2400950,2562135,2426521,2705572,2608844,2222225,3017870,2195889,2735477,2474572,2551001,2521902,2602171,5216424,2418814
